"","workerid","condition","likelihood.cautious","likelihood.confident","most_likely_model","likelihood_ratio","test_order","noticed_manipulation","first_speaker_type","prior_likelihood_ratio"
"147",1518,"cautious",-738.845800876572,-562.296129923391,"confident",176.549670953181,"parallel",0,"cautious",-165.293117839596
"148",1518,"confident",-648.637732486217,-601.694573978065,"confident",46.9431585081512,"parallel",0,"cautious",-165.293117839596
"149",1519,"cautious",-917.966609736243,-773.321003770704,"confident",144.645605965539,"reverse",0,"confident",-125.996736407371
"150",1519,"confident",-822.067477433881,-717.543378943149,"confident",104.524098490732,"reverse",0,"confident",-125.996736407371
"151",1520,"cautious",-409.895322797972,-479.106618539759,"cautious",-69.2112957417872,"parallel",0,"confident",-99.0711154639647
"152",1520,"confident",-333.904541800034,-605.565094755745,"cautious",-271.660552955712,"parallel",0,"confident",-99.0711154639647
"153",1521,"cautious",-505.531130923955,-390.320862443659,"confident",115.210268480296,"parallel",0,"cautious",29.6227776056762
"154",1521,"confident",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"parallel",0,"cautious",29.6227776056762
"155",1522,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"reverse",1,"confident",-12.3882611368065
"156",1522,"confident",-633.188462389696,-547.621969916422,"confident",85.5664924732744,"reverse",1,"confident",-12.3882611368065
"157",1523,"cautious",-548.280848327242,-638.104016263546,"cautious",-89.8231679363039,"reverse",0,"cautious",-133.531021943193
"158",1523,"confident",-977.137900299946,-1042.18741578018,"cautious",-65.0495154802351,"reverse",0,"cautious",-133.531021943193
"159",1524,"cautious",-770.90604775663,-924.613352830502,"cautious",-153.707305073872,"reverse",0,"confident",-41.2410799865158
"160",1524,"confident",-1090.51951532569,-1054.23383962648,"confident",36.2856756992173,"reverse",0,"confident",-41.2410799865158
"161",1525,"cautious",-635.978410779762,-745.109791522487,"cautious",-109.131380742725,"reverse",1,"cautious",-70.4887328574157
"162",1525,"confident",-1044.55094827526,-875.697345503002,"confident",168.85360277226,"reverse",1,"cautious",-70.4887328574157
"163",1526,"cautious",-858.177423604307,-719.179702618373,"confident",138.997720985933,"parallel",0,"cautious",-1.00450003862238
"164",1526,"confident",-928.455561352464,-787.56995355953,"confident",140.885607792934,"parallel",0,"cautious",-1.00450003862238
"165",1527,"cautious",-717.727326259796,-772.815276276433,"cautious",-55.087950016637,"parallel",1,"cautious",-323.854502371234
"166",1527,"confident",-587.590102519808,-584.758497253242,"confident",2.83160526656604,"parallel",1,"cautious",-323.854502371234
"167",1528,"cautious",-596.49273547578,-717.438643870416,"cautious",-120.945908394635,"parallel",1,"confident",-21.7609206965067
"168",1528,"confident",-830.306625562039,-755.911018962347,"confident",74.395606599692,"parallel",1,"confident",-21.7609206965067
"169",1530,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"reverse",1,"cautious",-83.8891692935308
"170",1530,"confident",-1093.5729482046,-442.840285660659,"confident",650.732662543938,"reverse",1,"cautious",-83.8891692935308
"171",1531,"cautious",-959.65353628844,-578.954674023066,"confident",380.698862265374,"reverse",0,"cautious",-136.891047460282
"172",1531,"confident",-897.712251748627,-595.59889658189,"confident",302.113355166738,"reverse",0,"cautious",-136.891047460282
"173",1532,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"cautious",63.4907630369312
"174",1532,"confident",-980.369690849152,-402.412021037599,"confident",577.957669811552,"parallel",0,"cautious",63.4907630369312
"175",1533,"cautious",-379.881867719196,-671.33928880737,"cautious",-291.457421088174,"parallel",0,"cautious",-384.687267959043
"176",1533,"confident",-418.78443491529,-571.481247194337,"cautious",-152.696812279047,"parallel",0,"cautious",-384.687267959043
"177",1534,"cautious",-657.109321968221,-1027.64534499254,"cautious",-370.536023024318,"reverse",0,"confident",-171.714097479206
"178",1534,"confident",-845.783293695985,-1346.16658075185,"cautious",-500.383287055868,"reverse",0,"confident",-171.714097479206
"179",1536,"cautious",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"parallel",0,"confident",-56.2465082518808
"180",1536,"confident",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"confident",-56.2465082518808
"181",1537,"cautious",-263.445400331088,-639.185978986769,"cautious",-375.740578655681,"parallel",1,"confident",-37.3304521505258
"182",1537,"confident",-959.852544222586,-391.580273898974,"confident",568.272270323613,"parallel",1,"confident",-37.3304521505258
